"filename", "language", "YAML", "JSON", "Markdown", "Swift", "Groovy", "Properties", "C++", "XML", "HTML", "Dart", "comment", "blank", "total"
"d:\VS experiments\canasta\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\VS experiments\canasta\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\VS experiments\canasta\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 12, 68
"d:\VS experiments\canasta\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\VS experiments\canasta\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"d:\VS experiments\canasta\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\VS experiments\canasta\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\VS experiments\canasta\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\VS experiments\canasta\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\VS experiments\canasta\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\VS experiments\canasta\android\build.gradle", "Groovy", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\VS experiments\canasta\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\VS experiments\canasta\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\VS experiments\canasta\android\settings.gradle", "Groovy", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\VS experiments\canasta\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\VS experiments\canasta\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\VS experiments\canasta\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\VS experiments\canasta\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\VS experiments\canasta\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\VS experiments\canasta\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\VS experiments\canasta\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\VS experiments\canasta\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\VS experiments\canasta\lib\canasta_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"d:\VS experiments\canasta\lib\canasta_text.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"d:\VS experiments\canasta\lib\checkbox_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 2, 5, 60
"d:\VS experiments\canasta\lib\global.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"d:\VS experiments\canasta\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 332, 12, 18, 362
"d:\VS experiments\canasta\lib\rounds_chart.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 6, 5, 126
"d:\VS experiments\canasta\lib\team.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 17, 94
"d:\VS experiments\canasta\lib\team_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 2, 7, 129
"d:\VS experiments\canasta\lib\textfield_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 2, 6, 61
"d:\VS experiments\canasta\lib\titled_container.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 3, 4, 61
"d:\VS experiments\canasta\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 5, 12
"d:\VS experiments\canasta\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"d:\VS experiments\canasta\linux\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\VS experiments\canasta\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 11, 20, 105
"d:\VS experiments\canasta\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 5, 19
"d:\VS experiments\canasta\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 4, 13
"d:\VS experiments\canasta\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\VS experiments\canasta\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\VS experiments\canasta\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\VS experiments\canasta\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\VS experiments\canasta\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\VS experiments\canasta\pubspec.yaml", "YAML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\VS experiments\canasta\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 6, 60
"d:\VS experiments\canasta\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\VS experiments\canasta\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 5, 12
"d:\VS experiments\canasta\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"d:\VS experiments\canasta\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 16, 72
"d:\VS experiments\canasta\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 9, 34
"d:\VS experiments\canasta\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 10, 44
"d:\VS experiments\canasta\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 2, 17
"d:\VS experiments\canasta\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 10, 66
"d:\VS experiments\canasta\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 6, 20
"d:\VS experiments\canasta\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 24, 55, 289
"d:\VS experiments\canasta\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 31, 24, 103
"Total", "-", 23, 248, 5, 52, 94, 8, 531, 463, 38, 856, 224, 331, 2873